City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kudahuvadhoo,2.6708,72.8944,27.81,76,85,2.69,MV,1725308805
1,bethel,41.3712,-73.414,24.74,59,18,0.89,US,1725308806
2,edinburgh of the seven seas,-37.0676,-12.3116,9.45,66,92,12.04,SH,1725308807
3,whitehorse,60.7161,-135.0538,15.61,54,75,2.57,CA,1725308809
4,mirriah,13.7073,9.1501,28.54,60,100,3.17,NE,1725308810
5,ust-tsilma,65.441,52.1498,9.16,77,78,3.55,RU,1725308811
6,island harbour,50.724,-1.2758,18.04,92,100,1.34,GB,1725308812
7,ribeira grande,38.5167,-28.7,23.22,60,20,6.69,PT,1725308814
8,al jawf,29.5,38.75,27.19,26,0,4.36,SA,1725308815
9,blackmans bay,-43.0167,147.3167,7.07,77,60,0.45,AU,1725308816
10,lospalos,-8.5186,127.0025,20.6,96,99,1.65,TL,1725308817
11,livramento do brumado,-13.6431,-41.8406,30.64,23,67,3.64,BR,1725308819
12,auki,-8.7676,160.7034,24.39,89,87,2.02,SB,1725308820
13,st. john's,47.5649,-52.7093,24.04,81,75,5.66,CA,1725308774
14,ifrane,33.3333,-5.25,22.87,48,0,1.05,MA,1725308822
15,magadan,59.5667,150.8,8.76,89,64,4.6,RU,1725308824
16,sesheke,-17.4759,24.2968,17.65,30,0,2.4,ZM,1725308825
17,verkhnevilyuysk,63.4453,120.3167,8.77,78,100,2.17,RU,1725308826
18,lompoc,34.6391,-120.4579,24.23,65,0,7.72,US,1725308827
19,ushuaia,-54.8,-68.3,7.81,66,20,2.06,AR,1725308791
20,port elizabeth,-33.918,25.5701,17.4,95,0,5.14,ZA,1725308830
21,tura,25.5198,90.2201,24.42,91,23,1.31,IN,1725308831
22,hamilton,39.1834,-84.5333,27.47,36,0,6.69,US,1725308644
23,atafu village,-8.5421,-172.5159,28.08,73,6,8.49,TK,1725308833
24,adamstown,-25.066,-130.1015,17.81,50,0,3.51,PN,1725308835
25,kamen'-na-obi,53.7884,81.3423,10.09,87,100,8.91,RU,1725308836
26,kyren,51.6828,102.1408,10.71,94,100,1.42,RU,1725308837
27,jamaame,0.0697,42.745,24.41,75,14,5.06,SO,1725308838
28,salinas,36.6777,-121.6555,21.57,77,0,3.6,US,1725308742
29,juneau,58.3019,-134.4197,14.12,95,100,2.57,US,1725308841
30,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1725308821
31,mossel bay,-34.1831,22.146,22.96,66,15,1.81,ZA,1725308843
32,port-aux-francais,-49.35,70.2167,0.67,59,94,8.55,TF,1725308844
33,howrah,22.5892,88.3103,29.0,89,40,1.54,IN,1725308846
34,porto novo,6.4965,2.6036,24.9,84,22,2.93,BJ,1725308847
35,andovoranto,-18.95,49.1,19.44,90,29,0.92,MG,1725308848
36,saint-philippe,-21.3585,55.7679,20.9,84,48,5.47,RE,1725308849
37,waitangi,-43.9535,-176.5597,13.23,90,0,4.92,NZ,1725308850
38,usinsk,65.9939,57.5281,5.89,86,99,7.63,RU,1725308852
39,olonkinbyen,70.9221,-8.7187,6.48,95,100,8.69,SJ,1725308853
40,kailua-kona,19.6406,-155.9956,28.98,87,40,4.63,US,1725308854
41,leava,-14.3,-178.1667,26.34,68,79,8.57,WF,1725308855
42,grytviken,-54.2811,-36.5092,2.5,98,100,6.36,GS,1725308857
43,san patricio,28.017,-97.5169,31.97,61,78,4.48,US,1725308858
44,bredasdorp,-34.5322,20.0403,16.21,68,6,1.92,ZA,1725308837
45,constantia,44.1833,28.65,23.38,76,98,1.37,RO,1725308645
46,chernushka,56.5072,56.0766,13.22,83,100,3.22,RU,1725308861
47,papatowai,-46.5619,169.4708,8.07,89,100,6.69,NZ,1725308863
48,alta,69.9689,23.2717,15.59,67,0,3.09,NO,1725308864
49,lasem,-6.6922,111.4527,24.45,71,78,3.3,ID,1725308865
50,talnakh,69.4865,88.3972,7.53,92,98,0.53,RU,1725308866
51,rongelap,11.1635,166.8941,27.98,76,3,2.72,MH,1725308868
52,muscat,23.6139,58.5922,29.88,68,0,4.22,OM,1725308869
53,kingston,17.997,-76.7936,32.53,66,20,9.26,JM,1725308870
54,albany,42.6001,-73.9662,22.14,50,31,2.24,US,1725308747
55,gadzhiyevo,69.2551,33.3362,13.22,81,58,2.37,RU,1725308873
56,glace bay,46.1969,-59.957,21.75,95,100,7.2,CA,1725308874
57,canton,23.1167,113.25,29.22,80,98,1.67,CN,1725308825
58,bengkulu,-3.8004,102.2655,25.69,89,82,3.22,ID,1725308876
59,ouarzazat,30.9189,-6.8934,31.16,22,40,1.54,MA,1725308877
60,motueka,-41.1333,173.0167,13.94,98,100,0.33,NZ,1725308879
61,nova sintra,14.8667,-24.7167,26.61,79,39,5.42,CV,1725308880
62,kinna,57.5073,12.6946,14.51,68,100,1.97,SE,1725308881
63,isafjordur,66.0755,-23.124,7.11,85,100,1.58,IS,1725308882
64,yellowknife,62.456,-114.3525,18.56,72,100,5.66,CA,1725308884
65,ancud,-41.8697,-73.8203,8.75,75,82,6.4,CL,1725308885
66,hawaiian paradise park,19.5933,-154.9731,27.07,85,100,0.0,US,1725308886
67,ilulissat,69.2167,-51.1,5.01,60,75,5.14,GL,1725308887
68,invercargill,-46.4,168.35,8.9,78,100,3.13,NZ,1725308889
69,hasaki,35.7333,140.8333,24.95,94,92,5.03,JP,1725308890
70,kodiak,57.79,-152.4072,11.73,94,100,0.0,US,1725308891
71,pokhara,28.2333,83.9833,20.45,76,97,1.63,NP,1725308894
72,puerto natales,-51.7236,-72.4875,10.25,53,75,9.26,CL,1725308895
73,egilsstadir,65.2653,-14.3948,9.95,87,75,2.06,IS,1725308896
74,urengoy,65.9667,78.3667,7.16,97,100,3.8,RU,1725308897
75,mto wa mbu,-3.35,35.85,21.11,67,66,3.13,TZ,1725308899
76,shalya,57.2471,58.7298,12.78,97,100,3.68,RU,1725308900
77,badger,64.8,-147.5333,12.21,72,0,1.54,US,1725308901
78,jamestown,42.097,-79.2353,17.23,55,40,3.6,US,1725308826
79,hastings,50.8552,0.5729,18.86,96,100,4.68,GB,1725308904
80,vieste,41.8825,16.175,25.31,67,92,4.7,IT,1725308905
81,baranchinskiy,58.1617,59.6991,13.23,96,99,3.38,RU,1725308906
82,susuman,62.7833,148.1667,7.58,85,100,2.38,RU,1725308907
83,thompson,55.7435,-97.8558,27.09,44,40,4.12,CA,1725308752
84,toliara,-23.35,43.6667,21.22,70,0,7.61,MG,1725308910
85,east london,-33.0153,27.9116,17.82,78,0,9.4,ZA,1725308716
86,mahanoro,-19.9,48.8,19.63,90,61,1.29,MG,1725308912
87,port mathurin,-19.6833,63.4167,21.56,79,14,9.15,MU,1725308913
88,port lincoln,-34.7333,135.8667,9.98,75,0,3.35,AU,1725308915
89,akobo,7.4344,3.9497,22.4,86,30,2.12,NG,1725308916
90,carnarvon,-24.8667,113.6333,19.71,81,3,4.03,AU,1725308917
91,iqaluit,63.7506,-68.5145,2.85,81,100,5.66,CA,1725308918
92,puerto ayora,-0.7393,-90.3518,22.53,83,53,3.13,EC,1725308920
93,college,64.8569,-147.8028,12.26,69,40,1.54,US,1725308921
94,dzierzoniow,50.7282,16.6514,19.27,94,70,1.25,PL,1725308922
95,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,3.0,RU,1725308923
96,vieux fort,13.7167,-60.95,29.62,70,20,5.66,LC,1725308710
97,i-n-salah,27.1935,2.4607,36.83,15,15,4.64,DZ,1725308927
98,afaahiti,-17.75,-149.2833,22.68,75,69,11.55,PF,1725308928
99,lebu,-37.6167,-73.65,9.86,80,75,5.24,CL,1725308930
100,hithadhoo,-0.6,73.0833,28.35,77,99,4.88,MV,1725308931
101,rio grande,-32.035,-52.0986,15.69,81,91,3.71,BR,1725308932
102,kalemie,-5.9475,29.1947,23.57,60,16,0.71,CD,1725308934
103,west island,-12.1568,96.8225,25.99,78,75,3.6,CC,1725308935
104,polyarnyy,69.1989,33.4478,13.18,80,57,2.61,RU,1725308936
105,portland,45.5234,-122.6762,19.6,86,100,2.06,US,1725308282
106,albufeira,37.0882,-8.2503,24.91,68,1,7.39,PT,1725308939
107,buarcos,40.166,-8.8768,17.51,78,100,9.74,PT,1725308940
108,mana,5.6592,-53.7767,29.41,67,83,4.44,GF,1725308942
109,stanley,54.868,-1.6985,15.29,88,20,4.12,GB,1725308723
110,galliano,29.4422,-90.2992,33.0,52,0,2.06,US,1725308946
111,manfalut,27.3104,30.97,34.14,24,2,2.17,EG,1725308947
112,viedma,-40.8135,-62.9967,18.06,19,100,7.17,AR,1725308724
113,tarfaya,27.9358,-12.9218,22.24,80,100,8.48,MA,1725308950
114,zarghun shahr,32.8473,68.4457,20.63,62,33,3.49,AF,1725308951
115,okha,53.5739,142.9478,10.91,73,24,7.79,RU,1725308954
116,kiffa,16.6166,-11.4045,35.44,41,47,6.93,MR,1725308955
117,inari,68.906,27.0288,12.28,83,10,1.88,FI,1725308956
118,kapuskasing,49.4169,-82.4331,19.05,39,75,5.66,CA,1725308958
119,merritt,50.1123,-120.7942,31.74,23,49,1.17,CA,1725308959
120,khandyga,62.6667,135.6,7.99,98,100,0.74,RU,1725308960
121,ust-nera,64.5667,143.2,5.41,99,100,3.18,RU,1725308961
122,nemuro,43.3236,145.575,17.78,96,100,3.4,JP,1725308963
123,n'zeto,-7.2312,12.8666,21.78,87,0,3.53,AO,1725308965
124,moranbah,-22.0016,148.0466,17.04,71,5,4.15,AU,1725308967
125,puerto gaitan,4.3133,-72.0816,25.55,74,98,2.81,CO,1725308877
